idx,tag,url
200000,사랑을 했다 (LOVE SCENARIO),http://www.melon.com/song/detail.htm?songId=30859584
160000,그날처럼,http://www.melon.com/song/detail.htm?songId=30755375
120000,주인공,http://www.melon.com/song/detail.htm?songId=30838076
80000,#첫사랑,http://www.melon.com/song/detail.htm?songId=30829858
47525,비행운,http://www.melon.com/song/detail.htm?songId=30086173
47036,다른사람을 사랑하고 있어,http://www.melon.com/song/detail.htm?songId=30851703
46549,Havana (Feat. Young Thug),http://www.melon.com/song/detail.htm?songId=30567963
46064,instagram,http://www.melon.com/song/detail.htm?songId=30806580
45581,선물,http://www.melon.com/song/detail.htm?songId=30514366
45100,Roller Coaster,http://www.melon.com/song/detail.htm?songId=30844118
44621,Heart Shaker,http://www.melon.com/song/detail.htm?songId=30781481
44144,답장,http://www.melon.com/song/detail.htm?songId=30833270
43669,뿜뿜,http://www.melon.com/song/detail.htm?songId=30816860
43196,밤이 되니까,http://www.melon.com/song/detail.htm?songId=30659630
42725,Universe,http://www.melon.com/song/detail.htm?songId=30806536
42256,DNA,http://www.melon.com/song/detail.htm?songId=30637982
41789,기억의 빈자리,http://www.melon.com/song/detail.htm?songId=30757693
41324,Lonely (Feat. 태연),http://www.melon.com/song/detail.htm?songId=30383758
40861,좋니,http://www.melon.com/song/detail.htm?songId=30486509
40400,너 없는 시간들,http://www.melon.com/song/detail.htm?songId=30859636
39941,all of my life,http://www.melon.com/song/detail.htm?songId=30550388
39484,피카부 (Peek-A-Boo),http://www.melon.com/song/detail.htm?songId=30736437
39029,이 별,http://www.melon.com/song/detail.htm?songId=30637776
38576,좋아,http://www.melon.com/song/detail.htm?songId=30729198
38125,LIKEY,http://www.melon.com/song/detail.htm?songId=30700708
37676,Beautiful,http://www.melon.com/song/detail.htm?songId=30725482
37229,빛이 나 (Shinin`),http://www.melon.com/song/detail.htm?songId=30853153
36784,그리워하다,http://www.melon.com/song/detail.htm?songId=30672529
36341,LONG TIME NO SEE,http://www.melon.com/song/detail.htm?songId=30859595
35900,Ko Ko Bop,http://www.melon.com/song/detail.htm?songId=30529996
35461,겨울소리,http://www.melon.com/song/detail.htm?songId=30810765
35024,봄날,http://www.melon.com/song/detail.htm?songId=30244931
34589,시차 (We Are) (Feat. 로꼬 & GRAY),http://www.melon.com/song/detail.htm?songId=30613202
34156,가을 안부,http://www.melon.com/song/detail.htm?songId=30669593
33725,Tell Me,http://www.melon.com/song/detail.htm?songId=30824600
33296,썸 탈꺼야,http://www.melon.com/song/detail.htm?songId=30657307
32869,비밀정원,http://www.melon.com/song/detail.htm?songId=30827192
32444,Power,http://www.melon.com/song/detail.htm?songId=30616684
32021,"그때의 나, 그때의 우리",http://www.melon.com/song/detail.htm?songId=30709103
31600,밤편지,http://www.melon.com/song/detail.htm?songId=30314784
31181,바보야,http://www.melon.com/song/detail.htm?songId=30753213
30764,노력,http://www.melon.com/song/detail.htm?songId=30099927
30349,가시나,http://www.melon.com/song/detail.htm?songId=30587846
29936,Shape of You,http://www.melon.com/song/detail.htm?songId=30188113
29525,HandClap (영화 `슈퍼배드 3` 삽입곡),http://www.melon.com/song/detail.htm?songId=8111603
29116,에너제틱 (Energetic),http://www.melon.com/song/detail.htm?songId=30568338
28709,지나갈 테니 (Been Through),http://www.melon.com/song/detail.htm?songId=30806539
28304,고민보다 Go,http://www.melon.com/song/detail.htm?songId=30637988
27901,나쁜놈 (JERK),http://www.melon.com/song/detail.htm?songId=30859587
27500,BEAUTIFUL,http://www.melon.com/song/detail.htm?songId=30859585
