id,date,genre,lyric
0,2018.01.25,Rap / Hip-hop,사랑을 했다 우리가 만나 지우지 못할 추억이 됐다 볼만한 멜로드라마 괜찮은 결말 그거면 됐다 널 사랑했다 우리가 만든 LOVE SCENARIO 이젠 조명이 꺼지고 마지막 페이지를 넘기면 조용히 막을 내리죠 에이 괜찮지만은 않아 이별을 마주한다는 건 오늘이었던 우리의 어제에 더는 내일이 없다는 건 아프긴 해도 더 끌었음 상처가 덧나니까 Ye 널 사랑했고 사랑 받았으니 난 이걸로 됐어 나 살아가면서 가끔씩 떠오를 기억 그 안에 네가 있다면 그거면 충분해 사랑을 했다 우리가 만나 지우지 못할 추억이 됐다 볼만한 멜로드라마 괜찮은 결말 그거면 됐다 널 사랑했다 우리가 만든 LOVE SCENARIO 이젠 조명이 꺼지고 마지막 페이지를 넘기면 조용히 막을 내리죠 갈비뼈 사이사이가 찌릿찌릿한 느낌 나 사랑받고 있음을 알게 해주는 눈빛 너에게 참 많이도 배웠다 반쪽을 채웠다 과거로 두기엔 너무 소중한 사람이었다 나 살아가면서 가끔씩 떠오를 기억 그 안에 네가 있다면 그거면 충분해 사랑을 했다 우리가 만나 지우지 못할 추억이 됐다 볼만한 멜로드라마 괜찮은 결말 그거면 됐다 널 사랑했다 네가 벌써 그립지만 그리워하지 않으려 해 한 편의 영화 따스했던 봄으로 너를 기억할게 우리가 만든 LOVE SCENARIO 이젠 조명이 꺼지고 마지막 페이지를 넘기면 조용히 막을 내리죠 우린 아파도 해봤고 우습게 질투도 했어 미친 듯이 사랑했고우리 이 정도면 됐어사랑을 했다우리가 만나그거면 됐다널 사랑했다
1,2017.11.28,Ballad,참 많은 시간이 흘러가고넌 어떻게 사는지 참 궁금해날 걱정하는 사람들에게다 잊었단 거짓말하는 내가 참 미운 날아름다운 이별은 세상에 없다지만그때 내가 조금 더 너를 편하게 보내줬다면다른 사람 또 만나 행복할 니가 가끔은내 생각할 때에 지을 표정이 참 궁금해날 보는 네 눈이 좋아서 얼굴 붉히며 딴청 피던 아름답던 그날처럼 좋은 사람 만나 사랑 받고 너도 이젠 웃을 수 있길찬란했던 우리 그날처럼비어있는 지갑에 음식점을 서성이면월급날이라며 손잡아 이끌어주던만 원짜리 커플링 고맙다며 펑펑 울던과분한 네 사랑 받을 사람 참 부러워날 보는 네 눈이 좋아서 얼굴 붉히며 딴청 피던 아름답던 그날처럼 좋은 사람 만나 사랑 받고 너도 이젠 웃을 수 있길찬란했던 우리 그날처럼문득 들려오는 너의 소식에가끔씩은 혼자 울 수 있길끝까지 이기적인 내가이젠 나 없이도 괜찮다 너에게 듣고 싶던 말좋은 사람 만나 미안해 다시 돌아갈 순 없지만아름답던 우리 그날
2,2018.01.18,Dance,내 몸이 확머리가 휙돌아가 어때지금 기분이우리는 마치자석 같아서로를 안고또 밀쳐내니까너는 날 미치게 하고정신 못 차리게 해그래 알겠지 넌 참날 기가 막히게 해너는 날 춤추게 하고술 없이 취하게 해그래 알겠지 넌 참착한 날 독하게 해우리 둘만의이 영화에진짜 주인공은 너였어 baby그래 넌 오늘도 너답게화려한 주인공처럼그저 하던 대로 해그게 악역이라도나를 슬프게 해도넌 너여야만 해내가 아플지라도슬픈 엔딩이라도the show must go onthe show must go on너는 늘 끝장을 보고모든 걸 덮으려 해왜 날개를 달아주고추락하자 해너는 늘 착하지 라며날 눈물 삼키게 하잖아그래 알겠지 알겠지넌 날 혹하게 해우리 둘만의이 드라마에진짜 주인공은 너였어 baby그래 넌 오늘도 너답게화려한 주인공처럼그저 하던 대로 해그게 악역이라도나를 슬프게 해도넌 너여야만 해내가 아플지라도슬픈 엔딩이라도the show must go onthe show must go on그저 하던 대로 해그게 악역이라도나를 슬프게 해도넌 너여야만 해내가 아플지라도슬픈 엔딩이라도the show must go onthe show must go onyou must go on
3,2018.01.10,Folk,어릴 때 넌 키도 작고빼빼 말랐지 기억나난 knock 그런 니가괜히 맘에 들어두드려보지만 yeah짓궂게 놀려주는 게나름 나의 맘이었는데Why- Don't you know그런 채로 졸업식But these days너의 소식이 어디서 타고 오는 건지훌쩍 커버린 너는 왜 땜에 멋진 건지내 timeline에 나타나는너의 시간이내 시간을 다 훔쳐가 yeahOh winter night when I meet you나 너를 만나면그 어릴 때 뭐 모를 때사실 널 좋아했다고말해줄 거야 괜히 널 보면못되게 굴었었다고말해줄 거야너도 그 날로 돌아가 솔직 해줄래어릴 때 넌 숫기 없고조용했었지 기억나근데 어쩜 하는 말마다왜 그렇게 예쁘게 하는데이제는 놀릴 수 없이커져버린 너의 어깨가날 설레게 해 따뜻할 것 같아Oh winter night when I meet you나 너를 만나면그 어릴 때 뭐 모를 때사실 널 좋아했다고말해줄 거야 괜히 널 보면못되게 굴었었다고말해줄 거야너도 그 날로 돌아가 솔직 해줄래널 좋아했던 그때가 그리운 걸까아님 지금도 떨리는 걸까yeah너가 걸어오고 있어몸이 얼어붙어 아무 말도 못 하겠어Oh winter night when I meet you흰 눈이 내리면난 아직도 널 보는 게사실 두근거린다고말해줄 거야 이제널 보면 예쁘게 웃어준다고말해줄 거야 너도그 날로 돌아가 솔직 해줄래
4,2016.11.10,Rock,매일매일이 잿빛이더라구팽이돌듯이 빙빙 돌더라구어른이 라는 따분한 벌레들이야금야금 꿈을 좀 먹더라구나는 자라 겨우내가 되겠지뿔이 자라난어른이 될테니억지로 라도웃어야지 하는데그럼에도 좀울적하더라구어제와 오늘의 온도가 너무 달라서비행운이 만들어졌네내가 머물기에여기는 너무 높아서한숨자국만 깊게 드러났네나는 자라 겨우내가 되겠지뿔이 자라난어른이 될 테니억지로 라도웃어야지 하는데그럼에도 좀울적 하더라구어제와 오늘의 온도가 너무 달라서비행운이 만들어졌네내가 머물기에여기는 너무 높아서한숨자국만 깊게 드러났네어제와 오늘의 온도가 너무 달라서비행운이 만들어졌네내가 머물기에여기는 너무 높아서한숨자국만 깊게 드러났네꼬마가 간직했던꿈은 무엇일까오래된 일기장을 꺼내봤네1996년 7월 20일에우주 비행사라고 적어놨네
5,2018.01.22,Ballad,네가 상처받지 않게 어떻게 말을 꺼낼까예쁜 말 적당한 핑계로 널 보내고 난 떠나려 했어일어선 나를 붙잡고 엉엉 울며 매달리기 전 까지 말야 다른 사람을 사랑하고 있어다 말하고 싶지 않았어넌 좋은 사람이니까허물어지는 모래성을 붙잡고더 애를 쓰려 하지 마너 아닌 다른 사람을 사랑하고 있어바란 것도 하나 없이 넌 항상 모든 걸 줬어행복한 내가 너의 행복이라며넌 언제나 나만 바라봤어그런데 너의 사랑이 점점 지쳐변명 하지 않고 다 말할게다른 사람을 사랑하고 있어다 말하고 싶지 않았어넌 좋은 사람이니까허물어지는 모래성을 붙잡고더 애를 쓰려 하지 마너 아닌 다른 사람을 걱정하다가도 까맣게 널 잊을 만큼진심으로 사랑하고 있어아름다웠던 사랑의 끝에서다 말하고 싶지 않았어네가 아플까 봐허물어지는 모래성을 붙잡고더 애를 쓰려 하지 마너 아닌 다른 사람을 사랑하고 있어
6,2018.01.12,Pop,HeyHavana ooh na na ayyHalf of my heart is in Havanaooh na na ayy ayyHe took me back to East Atlantana na naAll of my heart is in Havana ayyThere's somethin''bout his manners uh huhHavana ooh na na uhHe didn't walk upwith that how you doin' uhWhen he came in the roomHe said there’s a lot of girlsI can do with uhBut I can't without youI'm doin' foreverin a minute heyThat summer night in JuneAnd papa says he got maloin him uhHe got me feelin' likeOooh oooh oohI knew it when I met himI loved him when I left himGot me feelin' likeOooh oooh oohand then I had to tell himI had to go oh na na na na naHavana ooh na na ayy ayyHalf of my heart is in Havanaooh na na ayy ayyHe took me back to East Atlantana na na uh huhAll of my heart is in Havana ayyMy heart is in Havana ayyHavana ooh na naJefferyJust graduatedfresh on campus mmmFresh out East Atlantawith no manners damnFresh out East AtlantaBump on her bumperlike a traffic jam jamHey I was quick to paythat girl like Uncle Samhere you go ayyBack it on meshawty cravin' on meGet to diggin' on me on meShe waited on me then whatShawty cakin' on megot the bacon on me wait upThis is historyin the makin' on me on mePoint blank close range that beIf it cost a millionthat's me that's meI was gettin' mulaman they feel meHavana ooh na na ayy ayyHalf of my heart is in Havanaooh na na oh ayy ayyHe took me back to East Atlantana na na oh noAll of my heart is in Havana ayyMy heart is in Havana ayyHavana ooh na naOoh na na oh na na na oo oohTake me back back back likeOoh na na oh na na naTake me back back back likeOoh na na oh na na na yea yeahTake me back back back likeOoh na na oh na na naTake me back back backHey heyOooh oooh oohOooh oooh oohTake me back to my HavanaHavana ooh na naHalf of my heart is in Havanaooh na na oh yeahHe took me back to East Atlantana na na ayy ayyAll of my heart is in HavanaMy heart is in Havana ayyHavana ooh na naUh huhOh na na naoh na yeahOh na na naOh na na naNo no no take me backOh na na naHavana ooh na na
7,2017.12.26,R&amp;B; / Soul,내일이 올 걸 아는데난 핸드폰을 놓지 못해잠은 올 생각이 없대 yeah다시 인스타그램 인스타그램 하네잘 난 사람 많고 많지누군 어디를 놀러 갔다지좋아요는 안 눌렀어나만 이런 것 같아서저기 인스타그램 인스타그램 속엔문제야 문제온 세상 속에똑같은 사랑노래가와 닿지 못해나의 밤 속엔생각이 너무 많네복잡해틈만 나면 바뀌는 게 관둘래이 놈의 정보화 시대단단히 잘못 됐어요즘은 아는게 더괴로운 것 같은데가면 갈 수록너무 어려워나만 이런 건지클럽 말고 뭐영화 말고 뭐 없나 하다결국 동네내 맘에는 구멍이 있어그건 뭘로도 못 채우는 것 yeah난 지금 가라앉는 중 인걸네모난 바다 속에서문제야 문제온 세상 속에똑같은 사랑 노래가와 닿지 못해나의 밤 속엔생각이 너무 많네뚜루뚜 뚜루뚜all night그렇게 시간 낭비를 하네저 인스타그램 속에서Lonely lonely so lonely원래 이리도 힘든가요no way no way이 피드 속엔나완 다른 세상 뿐인데부질없이올려 놓은 사진뒤에 가려진 내 마음을아는 이 없네난 또 헤 메이네저 인스타그램 속에서그래 너는 요즘 어때잠 못 자는 건 여전해자른 단발이 참 예쁘던데좋아요는 안 눌렀어조금 웃긴것 같아서뚜루루뚜 뚜루루뚜뚜루루뚜all night그렇게 시간 낭비를 하네네 인스타그램 속에서
8,2017.07.10,Ballad,빛이 들어오면 자연스레 뜨던 눈그렇게 너의 눈빛을 보곤사랑에 눈을 떴어항상 알고 있던 것들도 어딘가새롭게 바뀐 것 같아남의 얘기 같던 설레는 일들이내게 일어나고 있어나에게만 준비된 선물 같아자그마한 모든 게 커져만 가항상 평범했던 일상도특별해지는 이 순간별생각 없이 지나치던 것들이이제는 마냥 내겐 예뻐 보이고내 맘을 설레게 해항상 어두웠던 것들도 어딘가빛나고 있는 것 같아남의 얘기 같던 설레는 일들이내게 일어나고 있어나에게만 준비된 선물 같아자그마한 모든 게 커져만 가항상 평범했던 일상도특별해지는 이 순간너를 알게 된 뒤 보이는모든 것들이 너무 예뻐 보여그렇게 신난 아이처럼순수한 사람이 된 것 같아나에게만 준비된 선물 같아자그마한 모든 게 커져만 가항상 평범했던 일상도특별해지는 이 순간깊은 사랑에 빠진 순간
9,2018.01.17,Dance,I remember very first time in love I remember oh oh I remember oh oh 너도 같은 기분일까 so I'm in love I remember oh oh I remember oh 어머 이래도 되는지 싶어 aha 그래 너 때문에 매일 즐거워 조금 서두르는 것 같아도 baby I need your love oh oh I need your love oh oh oh 심장이 훅 내려앉게 달콤해 가끔은 상처받을까 걱정돼 처음부터 모든 걸 알 순 없겠지 하지만 난 다 던져볼래 자꾸 아찔한 이 느낌 위험한 이 느낌 내 손을 꼭 잡아줘 I want you 흔들리지 않게 조금 더 뜨겁게 나를 꼭 더 안아줘 넌 롤러코스터 ooh ahh 롤러코스터 uh woh ahhI need your love ooh ahhbaby your love uh woh ahh빤히 바라볼 때 가슴이 떨려아닌 척 해봐도 뻔히 다 걸려내가 먼저 말하지 않아도이미 다 알아넌 내 맘과 같아 aha너무 빠른 건 아닐까 싶어 aha근데 너 때문에 매일 새로워조금 서툴러도 눈 감아줘 babyI need your love oh ohI need your love oh oh oh시간이 멈춘 것처럼 달콤해갑자기 날 떠날까 봐 걱정돼처음부터 모든 걸 알 순 없겠지하지만 난 다 던져볼래자꾸 아찔한 이 느낌위험한 이 느낌내 손을 꼭 잡아줘 I want you흔들리지 않게 조금 더 뜨겁게나를 꼭 더 안아줘넌 롤러코스터 ooh ahh롤러코스터 uh woh ahhI need your love ooh ahhBaby your love uh woh ahh어쩌다 찾아온 내 사랑I love you I love you모든 게 꿈이 아니기를I love you I love youLook넌 롤러코스터 ooh ahh넌 롤러코스터 baby롤러코스터 uh woh ahh롤러코스터 babyI need your love ooh ahhbaby I need you lovebaby your love uh woh ahh롤러코스터롤러코스터
